Memory Size(GB)   Latency(ns)   Bandwidth(MB/s)
0                 33.1871           22.37
1                 192.503           365914.16
2                  228.21           4.15
3                 313.065           3.98
4                 374.737           3.89
5                 388.629           3.86
6                 430.227           3.86
7                 442.217           3.86
8                 456.572           3.86
9                 467.527           3.86
10                 474.156           3.86
11                 484.475           3.86
12                 499.779           3.86
13                 513.523           3.86
14                 527.116          3.86
15                 539.163           3.86
16                 547.497           3.86
17                 555.928          3.86
18                 568.471           3.86
19                 572.043           3.86
20                 581.806           3.86
21                 581.551           3.86
22                 585.399           3.86
23                 588.329           3.86
24                 595.924           3.86
25                 597.828           3.86
26                 602.972           3.86
27                 601.6           3.86
28                 600.584           3.86
29                 602.039           3.86
30                 600.035           3.86
31                 600.985           3.86
32                 604.346           3.86
